Index          Parent         Info           Right sibling  
1              0              S              0              
2              1              B              3              
3              1              A              0              
4              2              D              5              
5              2              C              0              
6              4              a              0              
7              4              *              8              
8              4              D              9              
9              4              C              0              
10             8              (              11             
11             8              S              12             
12             8              )              0              
13             11             B              14             
14             11             A              0              
15             13             D              16             
16             13             C              0              
17             15             a              0              
18             15             ε              0              
19             15             +              20             
20             15             B              21             
21             15             A              0              
22             20             D              23             
23             20             C              0              
24             22             a              0              
25             22             ε              0              
26             22             ε              0              
27             22             ε              0              
28             22             ε              0              
